City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bredasdorp,-34.5322,20.0403,14.21,91,97,1.35,ZA,1681866633
84,el calafate,-50.3408,-72.2768,9.99,82,67,3.64,AR,1681866633
85,isafjordur,66.0755,-23.124,7.25,96,100,2.3,IS,1681866633
86,kruisfontein,-34.0033,24.7314,15.68,87,86,2.44,ZA,1681866634
87,ulladulla,-35.35,150.4667,22.65,43,0,2.31,AU,1681866633
88,aasiaat,68.7098,-52.8699,-9.39,93,100,3.02,GL,1681866634
89,piracanjuba,-17.3028,-49.0167,20.39,92,75,2.41,BR,1681866634
90,west island,-12.1568,96.8225,26.99,78,52,3.09,CC,1681866635
91,colonia,50.9333,6.95,12.29,69,100,3.09,DE,1681866008
92,port elizabeth,-33.918,25.5701,19.06,99,70,1.34,ZA,1681866017
93,muisne,0.6,-80.0333,26.35,84,100,1.28,EC,1681866635
94,urzhar,47.093,81.6294,0.14,47,0,1.12,KZ,1681866636
95,rawson,-43.3002,-65.1023,14.39,59,94,9.3,AR,1681866414
96,dundaga,57.5167,22.35,3.23,77,6,5.68,LV,1681866636
97,podgornoye,51.735,39.1496,6.12,52,0,3.0,RU,1681866636
98,kabalo,-6.05,26.9167,19.42,98,100,1.46,CD,1681866637
99,lompoc,34.6391,-120.4579,15.43,66,0,9.77,US,1681866637
100,tazovsky,67.4667,78.7,-12.91,96,100,3.76,RU,1681866637
101,mashhad,36.297,59.6062,4.08,48,0,2.06,IR,1681866607
102,uturoa,-16.7333,-151.4333,28.03,78,90,5.59,PF,1681866638
103,vallegrande,-18.4897,-64.1069,13.67,95,100,1.16,BO,1681866638
104,novosokol'niki,56.3463,30.1578,6.32,80,100,3.21,RU,1681866638
105,lerwick,60.1545,-1.1494,7.0,83,95,2.86,GB,1681866639
106,puerto ayora,-0.7393,-90.3518,25.31,98,100,1.04,EC,1681866639
107,nabire,-3.3667,135.4833,29.82,64,39,1.41,ID,1681866639
108,paracuru,-3.41,-39.0306,26.73,90,100,2.4,BR,1681866639
109,whitehorse,60.7161,-135.0538,4.45,93,100,1.54,CA,1681866607
110,ilulissat,69.2167,-51.1,-3.99,80,100,4.63,GL,1681866639
